Target Distance: 100, Step Size: 20
0: (x,y) = (0, 0)
1: (x,y) = (15.7602, 12.3132)
2: (x,y) = (34.6706, 18.8246)
3: (x,y) = (44.3668, 1.3322)
4: (x,y) = (32.0535, -14.428)
5: (x,y) = (12.2026, -16.8654)
6: (x,y) = (-7.76996, -15.8187)
7: (x,y) = (-14.2813, -34.7291)
8: (x,y) = (-34.2691, -35.427)
9: (x,y) = (-14.2722, -35.7761)
10: (x,y) = (-29.1351, -49.1587)
11: (x,y) = (-22.6237, -30.2483)
12: (x,y) = (-39.7671, -19.9476)
13: (x,y) = (-25.3803, -33.8407)
14: (x,y) = (-5.57491, -31.0573)
15: (x,y) = (-19.4681, -45.4441)
16: (x,y) = (0.285687, -48.5728)
17: (x,y) = (18.9573, -41.4054)
18: (x,y) = (37.8677, -34.894)
19: (x,y) = (52.2545, -21.0009)
20: (x,y) = (55.0379, -40.8062)
21: (x,y) = (67.3512, -56.5665)
22: (x,y) = (52.4883, -43.1838)
23: (x,y) = (32.5644, -44.927)
24: (x,y) = (42.8651, -27.7836)
25: (x,y) = (32.5644, -44.927)
26: (x,y) = (14.1543, -52.7416)
27: (x,y) = (34.0447, -54.8321)
28: (x,y) = (28.532, -74.0574)
29: (x,y) = (22.6845, -54.9313)
30: (x,y) = (3.45929, -49.4185)
31: (x,y) = (17.8461, -35.5254)
32: (x,y) = (-2.07781, -33.7823)
33: (x,y) = (-8.25815, -14.7611)
34: (x,y) = (-28.1091, -12.3237)
35: (x,y) = (-38.4098, -29.4671)
36: (x,y) = (-18.9224, -24.9681)
37: (x,y) = (-38.7278, -27.7515)
38: (x,y) = (-40.1229, -7.80024)
39: (x,y) = (-49.5124, -25.4592)
40: (x,y) = (-67.9225, -17.6446)
41: (x,y) = (-67.9225, 2.35543)
42: (x,y) = (-47.9986, 0.612312)
43: (x,y) = (-49.0453, 20.5849)
44: (x,y) = (-47.3022, 40.5088)
45: (x,y) = (-56.0696, 22.5329)
46: (x,y) = (-64.5219, 4.40676)
47: (x,y) = (-66.6125, -15.4837)
48: (x,y) = (-68.3556, -35.4076)
49: (x,y) = (-70.4462, -55.298)
50: (x,y) = (-58.6905, -71.4783)
51: (x,y) = (-53.1777, -52.2531)
52: (x,y) = (-43.4816, -34.7607)
53: (x,y) = (-63.1141, -38.5769)
54: (x,y) = (-43.3087, -41.3604)
55: (x,y) = (-62.534, -46.8731)
56: (x,y) = (-77.8549, -59.7289)
57: (x,y) = (-97.8518, -59.3798)
After 57 steps, the subject has the following location:
(x,y) = (-97.8518, -59.3798)
or
(m,a) = (114.459, -148.749)
Average outward distance per step = 2.00806
